nxbin energy_bin_center/keV s2_bin_1 s2_bin_2 s2_bin_3 s2_bin_4 s2_bin_5 s2_bin_6 s2_bin_7 s2_bin_8 s2_bin_9 s2_bin_10 s2_bin_11 s2_bin_12 s2_bin_13 s2_bin_14 s2_bin_15 s2_bin_16 s2_bin_17 s2_bin_18 s2_bin_19 s2_bin_20 s2_bin_21 s2_bin_22 s2_bin_23 s2_bin_24 s2_bin_25 s2_bin_26 s2_bin_27 s2_bin_28 s2_bin_29 s2_bin_30 s2_bin_31 s2_bin_32 s2_bin_33 s2_bin_34 s2_bin_35 s2_bin_36 s2_bin_37 s2_bin_38 s2_bin_39 s2_bin_40 s2_bin_41 s2_bin_42 s2_bin_43 s2_bin_44 s2_bin_45 s2_bin_46 s2_bin_47 s2_bin_48 s2_bin_49 s2_bin_50 s2_bin_51 s2_bin_52 s2_bin_53 s2_bin_54 s2_bin_55 s2_bin_56 s2_bin_57 s2_bin_58 s2_bin_59 s2_bin_60 s2_bin_61 s2_bin_62 s2_bin_63 s2_bin_64 s2_bin_65 s2_bin_66 s2_bin_67 s2_bin_68 s2_bin_69 s2_bin_70 s2_bin_71 s2_bin_72 s2_bin_73 s2_bin_74 s2_bin_75 s2_bin_76 s2_bin_77 s2_bin_78 s2_bin_79 s2_bin_80 s2_bin_81 s2_bin_82 s2_bin_83 s2_bin_84 s2_bin_85 s2_bin_86 s2_bin_87 s2_bin_88 s2_bin_89 s2_bin_90 s2_bin_91 s2_bin_92 s2_bin_93 s2_bin_94 s2_bin_95 s2_bin_96 s2_bin_97 s2_bin_98 s2_bin_99 s2_bin_100 s2_bin_101 s2_bin_102 s2_bin_103 s2_bin_104 s2_bin_105 s2_bin_106 s2_bin_107 s2_bin_108 s2_bin_109 s2_bin_110 s2_bin_111 s2_bin_112 s2_bin_113 s2_bin_114 s2_bin_115 s2_bin_116 s2_bin_117 s2_bin_118 s2_bin_119 s2_bin_120 s2_bin_121 s2_bin_122 s2_bin_123 s2_bin_124 s2_bin_125 s2_bin_126 s2_bin_127 s2_bin_128 s2_bin_129 s2_bin_130 s2_bin_131 s2_bin_132 s2_bin_133 s2_bin_134 s2_bin_135 s2_bin_136 s2_bin_137 s2_bin_138 s2_bin_139 s2_bin_140
11 0.105 0.000622117 0.000616512 0.000605303 0.000515629 0.000711792 0.000521233 0.000571675 0.000610908 0.000526838 0.000594094 0.000666954 0.000582884 0.00065014 0.000538047 0.000538047 0.000638931 0.000582884 0.000666954 0.00057728 0.000549257 0.000594094 0.000622117 0.000655745 0.000543652 0.00049321 0.000616512 0.000700582 0.000543652 0.000678164 0.000655745 0.00057728 0.000610908 0.000543652 0.000538047 0.000476396 0.00057728 0.000510024 0.000521233 0.000554861 0.000487605 0.000538047 0.000538047 0.000594094 0.000487605 0.000571675 0.000582884 0.000549257 0.000482001 0.000510024 0.000470791 0.000459582 0.000526838 0.000482001 0.000386721 0.000420349 0.000459582 0.000403535 0.000375512 0.000403535 0.000442768 0.000364303 0.000313861 0.00025221 0.000274628 0.000302652 0.000347489 0.000330675 0.000212977 0.000263419 0.000218582 0.000229791 0.000308256 0.000274628 0.000263419 0.000190558 0.00015693 0.000229791 0.000179349 0.000173744 0.000134512 0.000140116 0.000196163 0.000112093 0.000162535 0.000112093 7.85E-05 0.000117698 0.000162535 7.85E-05 7.29E-05 7.29E-05 7.85E-05 7.29E-05 7.29E-05 6.17E-05 8.97E-05 6.73E-05 6.73E-05 3.92E-05 7.29E-05 4.48E-05 6.17E-05 4.48E-05 3.36E-05 6.17E-05 2.80E-05 3.92E-05 2.24E-05 3.36E-05 3.36E-05 2.24E-05 1.68E-05 1.12E-05 1.68E-05 1.68E-05 1.12E-05 0 5.60E-06 0 1.68E-05 2.24E-05 1.68E-05 5.60E-06 1.68E-05 1.12E-05 1.12E-05 0 5.60E-06 5.60E-06 0 5.60E-06 0 5.60E-06 0 1.68E-05 0 0 5.60E-06 5.60E-06 0
12 0.115 0.000498815 0.000386721 0.000369907 0.00049321 0.000510024 0.000453977 0.000526838 0.000510024 0.000521233 0.000465187 0.000538047 0.00049321 0.000482001 0.000510024 0.000498815 0.00049321 0.000510024 0.000526838 0.000442768 0.000465187 0.000532443 0.000605303 0.000543652 0.000470791 0.000504419 0.000560466 0.000498815 0.000588489 0.000571675 0.000532443 0.000582884 0.000638931 0.000588489 0.000672559 0.000554861 0.000566071 0.000622117 0.000487605 0.000594094 0.000526838 0.000627722 0.000549257 0.000498815 0.000498815 0.000566071 0.000543652 0.000504419 0.00049321 0.000582884 0.000487605 0.000465187 0.000538047 0.000442768 0.000510024 0.000453977 0.000554861 0.000504419 0.000543652 0.000504419 0.000425954 0.000482001 0.000482001 0.000375512 0.000420349 0.000330675 0.000482001 0.00033628 0.000397931 0.00033628 0.000386721 0.000369907 0.000425954 0.00033628 0.000313861 0.000364303 0.000375512 0.000291442 0.000302652 0.000297047 0.000257814 0.000257814 0.000241 0.000358698 0.000229791 0.000190558 0.000280233 0.000190558 0.000229791 0.000224186 0.000162535 0.00015693 0.000201768 0.000162535 0.000190558 0.000201768 0.000134512 0.000235396 0.00015693 0.000123302 0.000117698 0.000162535 0.000123302 8.97E-05 0.000117698 0.000106489 7.29E-05 7.29E-05 0.000112093 0.000128907 7.29E-05 4.48E-05 8.97E-05 7.29E-05 1.68E-05 3.36E-05 5.04E-05 4.48E-05 3.92E-05 4.48E-05 5.60E-05 3.36E-05 2.24E-05 2.24E-05 1.12E-05 1.12E-05 2.24E-05 3.36E-05 2.24E-05 3.36E-05 3.92E-05 2.80E-05 1.12E-05 1.68E-05 1.12E-05 1.12E-05 1.12E-05 1.12E-05 0 0 2.24E-05
13 0.125 0.000442768 0.000297047 0.000319466 0.000470791 0.000347489 0.000482001 0.000538047 0.000414745 0.000459582 0.000442768 0.000364303 0.00049321 0.000431559 0.000425954 0.000627722 0.000459582 0.000465187 0.000459582 0.000526838 0.000510024 0.000515629 0.000437163 0.000442768 0.000504419 0.000532443 0.000381117 0.00049321 0.000549257 0.000482001 0.000622117 0.000560466 0.000538047 0.000560466 0.000605303 0.000476396 0.000515629 0.000582884 0.000532443 0.000510024 0.000453977 0.000588489 0.000498815 0.000582884 0.000414745 0.000510024 0.000526838 0.00057728 0.00049321 0.000560466 0.000504419 0.000538047 0.000582884 0.000532443 0.000521233 0.000470791 0.000610908 0.000476396 0.000437163 0.000543652 0.000369907 0.000532443 0.000453977 0.00040914 0.000448373 0.000538047 0.000498815 0.000431559 0.000482001 0.000414745 0.000420349 0.000448373 0.000425954 0.000358698 0.000442768 0.000470791 0.000347489 0.000386721 0.000291442 0.000257814 0.000291442 0.000341884 0.000358698 0.000369907 0.000257814 0.000353093 0.000269024 0.000308256 0.000229791 0.000313861 0.000302652 0.000207372 0.000319466 0.000319466 0.000269024 0.000274628 0.000179349 0.000201768 0.000224186 0.000201768 0.000151326 0.000179349 0.00015693 0.000173744 0.000263419 0.000145721 0.00015693 0.00016814 0.000190558 0.000128907 0.00016814 0.000134512 0.000134512 0.000117698 0.000134512 7.85E-05 8.97E-05 0.000134512 8.97E-05 0.000106489 0.000100884 6.73E-05 0.000100884 7.29E-05 4.48E-05 8.97E-05 5.60E-05 5.04E-05 4.48E-05 4.48E-05 7.29E-05 6.17E-05 3.36E-05 4.48E-05 5.60E-05 3.36E-05 1.68E-05 1.68E-05 3.36E-05 2.80E-05 5.60E-06
14 0.135 0.000330675 0.000341884 0.000358698 0.000386721 0.000431559 0.000319466 0.000453977 0.000313861 0.000347489 0.000381117 0.000358698 0.000414745 0.000358698 0.000453977 0.000397931 0.000442768 0.000414745 0.000381117 0.000442768 0.000420349 0.000319466 0.000425954 0.000482001 0.000442768 0.000459582 0.000571675 0.000453977 0.000425954 0.000442768 0.000465187 0.000465187 0.000515629 0.000482001 0.000521233 0.000521233 0.000510024 0.000498815 0.00057728 0.000515629 0.000431559 0.000442768 0.000487605 0.000448373 0.000465187 0.000504419 0.000510024 0.00049321 0.000487605 0.000453977 0.000386721 0.000465187 0.000582884 0.000470791 0.000425954 0.00049321 0.000397931 0.000560466 0.000510024 0.000476396 0.000431559 0.000448373 0.000448373 0.000459582 0.000482001 0.000510024 0.000459582 0.000571675 0.00033628 0.000549257 0.000425954 0.000420349 0.000442768 0.000403535 0.000397931 0.000448373 0.000347489 0.000526838 0.000437163 0.000369907 0.000381117 0.00032507 0.000358698 0.000364303 0.000375512 0.000297047 0.00033628 0.000330675 0.000308256 0.000341884 0.000347489 0.000308256 0.00025221 0.000341884 0.000291442 0.000269024 0.000291442 0.000263419 0.000201768 0.000241 0.000269024 0.000274628 0.000201768 0.000207372 0.000302652 0.000190558 0.00025221 0.000207372 0.000145721 0.000257814 0.000151326 0.000196163 0.000190558 0.000173744 0.000145721 0.000173744 0.000128907 0.000151326 0.000134512 0.000117698 0.000106489 0.000151326 0.000128907 9.53E-05 0.000128907 9.53E-05 0.000128907 0.000112093 8.97E-05 0.000112093 6.17E-05 6.73E-05 8.97E-05 5.60E-05 6.73E-05 3.36E-05 8.97E-05 7.29E-05 3.36E-05 8.41E-05 0.000100884
15 0.145 0.000285838 0.000224186 0.000218582 0.000291442 0.000291442 0.000257814 0.000308256 0.000347489 0.000291442 0.000319466 0.000358698 0.000285838 0.00033628 0.000375512 0.000381117 0.000330675 0.000347489 0.000347489 0.000476396 0.000403535 0.000397931 0.000420349 0.000414745 0.000470791 0.000448373 0.000437163 0.000397931 0.00032507 0.000397931 0.000386721 0.000353093 0.000521233 0.000498815 0.000437163 0.000448373 0.000425954 0.000386721 0.000510024 0.000425954 0.000437163 0.000482001 0.000431559 0.000510024 0.000414745 0.000437163 0.000482001 0.000403535 0.000465187 0.000498815 0.00049321 0.000358698 0.000482001 0.000526838 0.000521233 0.000437163 0.00049321 0.000582884 0.000504419 0.000459582 0.000448373 0.00040914 0.000476396 0.000453977 0.000459582 0.000515629 0.000465187 0.000347489 0.000392326 0.000470791 0.000476396 0.000566071 0.00040914 0.000459582 0.000538047 0.000397931 0.000420349 0.000459582 0.000459582 0.000482001 0.000437163 0.000487605 0.000347489 0.000358698 0.000442768 0.000453977 0.000369907 0.00040914 0.000397931 0.000381117 0.000386721 0.000341884 0.000386721 0.000431559 0.000375512 0.000297047 0.000330675 0.000392326 0.000353093 0.000308256 0.000308256 0.00033628 0.000302652 0.00032507 0.000257814 0.000274628 0.000285838 0.000302652 0.000224186 0.000207372 0.000297047 0.000246605 0.000196163 0.000353093 0.000241 0.000229791 0.000229791 0.000207372 0.000207372 0.000179349 0.000207372 0.000269024 0.000162535 0.000151326 0.000123302 0.000112093 0.00015693 0.000162535 0.000134512 0.000128907 0.000151326 0.000145721 0.000212977 0.000123302 0.000100884 8.41E-05 0.000100884 0.000106489 0.000100884 0.000100884 9.53E-05
16 0.155 0.000241 0.000229791 0.000229791 0.000212977 0.000274628 0.00015693 0.000218582 0.000218582 0.000246605 0.000201768 0.000246605 0.000330675 0.000313861 0.000224186 0.000341884 0.000308256 0.000285838 0.00025221 0.000224186 0.000341884 0.000313861 0.000364303 0.000308256 0.000308256 0.000313861 0.000375512 0.000375512 0.000364303 0.000364303 0.000353093 0.000375512 0.000386721 0.000386721 0.000381117 0.000341884 0.00040914 0.00025221 0.00032507 0.000353093 0.000369907 0.000364303 0.000375512 0.000397931 0.000470791 0.00049321 0.000392326 0.000420349 0.000487605 0.000470791 0.000515629 0.000375512 0.000437163 0.000431559 0.000381117 0.000465187 0.00040914 0.000375512 0.000482001 0.000510024 0.000448373 0.000420349 0.000470791 0.000414745 0.000487605 0.000470791 0.000470791 0.000515629 0.000482001 0.000476396 0.00040914 0.000482001 0.000414745 0.000392326 0.000442768 0.000448373 0.000381117 0.000347489 0.000369907 0.000414745 0.000442768 0.000397931 0.000375512 0.000330675 0.000330675 0.000448373 0.000364303 0.000425954 0.000476396 0.000510024 0.000386721 0.000392326 0.000381117 0.000358698 0.000392326 0.000330675 0.000386721 0.000358698 0.000403535 0.000442768 0.000392326 0.000358698 0.000347489 0.000274628 0.000313861 0.000386721 0.000341884 0.000341884 0.000347489 0.000330675 0.000291442 0.000263419 0.000319466 0.000386721 0.000358698 0.000224186 0.000224186 0.000269024 0.000207372 0.000269024 0.000235396 0.000235396 0.000184954 0.000218582 0.000212977 0.000184954 0.000207372 0.000207372 0.00025221 0.000263419 0.000184954 0.000212977 0.000190558 0.000134512 0.000128907 0.000207372 0.000173744 0.000190558 0.000224186 0.000201768 0.000173744
17 0.165 0.000241 0.00015693 0.000112093 0.00016814 0.000201768 0.00016814 0.000151326 0.000241 0.000162535 0.000257814 0.000229791 0.000235396 0.000291442 0.000235396 0.000246605 0.000308256 0.00033628 0.000229791 0.000297047 0.00033628 0.000274628 0.000341884 0.000319466 0.000313861 0.000274628 0.000369907 0.000319466 0.000291442 0.00025221 0.000330675 0.000269024 0.000285838 0.000353093 0.000302652 0.000369907 0.00033628 0.000291442 0.00032507 0.000330675 0.000375512 0.000358698 0.000358698 0.00032507 0.000341884 0.000414745 0.000431559 0.000392326 0.000330675 0.000381117 0.000392326 0.000465187 0.000375512 0.000341884 0.000392326 0.000375512 0.000459582 0.000425954 0.000358698 0.000487605 0.000403535 0.000515629 0.000392326 0.000397931 0.000470791 0.000364303 0.000482001 0.000403535 0.000341884 0.000482001 0.000353093 0.000482001 0.000425954 0.000392326 0.000341884 0.000364303 0.000459582 0.000498815 0.000515629 0.000498815 0.000414745 0.000425954 0.000392326 0.000425954 0.000470791 0.00040914 0.000375512 0.000353093 0.000482001 0.000364303 0.000392326 0.000437163 0.000425954 0.000403535 0.000364303 0.000414745 0.000330675 0.000369907 0.000347489 0.000330675 0.000313861 0.000431559 0.000369907 0.000425954 0.00033628 0.000397931 0.000313861 0.000341884 0.000246605 0.000285838 0.000319466 0.000403535 0.000274628 0.000381117 0.000442768 0.00033628 0.000302652 0.000285838 0.000291442 0.000302652 0.000330675 0.000291442 0.000201768 0.000274628 0.000269024 0.000235396 0.000302652 0.00025221 0.000257814 0.000241 0.000190558 0.000224186 0.00025221 0.000229791 0.000162535 0.000235396 0.000263419 0.000224186 0.000179349 0.000190558 0.000201768
18 0.175 0.000196163 0.000151326 0.000100884 0.000123302 0.000145721 0.000145721 0.000162535 0.000128907 0.000190558 0.000218582 0.000201768 0.000201768 0.000229791 0.000269024 0.00025221 0.000201768 0.000224186 0.000263419 0.000207372 0.000235396 0.000302652 0.000179349 0.000291442 0.000235396 0.000274628 0.000212977 0.000201768 0.000241 0.000302652 0.000319466 0.000330675 0.000263419 0.00025221 0.000269024 0.000280233 0.000330675 0.000297047 0.000381117 0.000330675 0.000341884 0.000341884 0.000386721 0.00032507 0.000330675 0.000241 0.000414745 0.000358698 0.00032507 0.000381117 0.000437163 0.000459582 0.000347489 0.000313861 0.000392326 0.000420349 0.000392326 0.000353093 0.000437163 0.000453977 0.000414745 0.000353093 0.000448373 0.000386721 0.000431559 0.000319466 0.000437163 0.000431559 0.00032507 0.000347489 0.000358698 0.000459582 0.000482001 0.000397931 0.000403535 0.000381117 0.000341884 0.000437163 0.000420349 0.000420349 0.000392326 0.000487605 0.000448373 0.000414745 0.000420349 0.000381117 0.000521233 0.000358698 0.000386721 0.000381117 0.000431559 0.000381117 0.000470791 0.000448373 0.000459582 0.000313861 0.000381117 0.000431559 0.00040914 0.000420349 0.000403535 0.000414745 0.000403535 0.000476396 0.00040914 0.000291442 0.000403535 0.000381117 0.000431559 0.000386721 0.000347489 0.000392326 0.000353093 0.000285838 0.000386721 0.000313861 0.000308256 0.000291442 0.000347489 0.000386721 0.000257814 0.000257814 0.000375512 0.000313861 0.000263419 0.00040914 0.000319466 0.000224186 0.000269024 0.000257814 0.000274628 0.000313861 0.000263419 0.000330675 0.000302652 0.000207372 0.000235396 0.000263419 0.000285838 0.000173744 0.000235396
19 0.185 0.000162535 0.000112093 0.000145721 0.000145721 7.29E-05 0.000151326 0.000151326 0.000112093 0.000173744 0.000201768 0.000140116 0.00016814 0.000145721 0.000207372 0.000241 0.000218582 0.000140116 0.000190558 0.000218582 0.000184954 0.000179349 0.000207372 0.000235396 0.000263419 0.000218582 0.000190558 0.000235396 0.000218582 0.00025221 0.00025221 0.00025221 0.000246605 0.000269024 0.000235396 0.00025221 0.000291442 0.000224186 0.000280233 0.00032507 0.000241 0.000297047 0.000358698 0.000274628 0.000330675 0.00025221 0.000308256 0.000375512 0.000291442 0.000386721 0.000364303 0.000302652 0.00033628 0.000291442 0.000369907 0.000285838 0.000297047 0.000403535 0.000353093 0.00040914 0.000313861 0.000358698 0.000397931 0.000414745 0.000364303 0.000358698 0.000369907 0.00032507 0.000358698 0.000308256 0.000364303 0.000353093 0.000397931 0.000381117 0.00033628 0.000386721 0.000437163 0.000425954 0.000397931 0.000319466 0.000397931 0.000476396 0.000453977 0.000397931 0.000375512 0.000442768 0.000397931 0.000431559 0.000392326 0.000375512 0.00040914 0.000482001 0.000476396 0.00040914 0.000341884 0.000369907 0.000313861 0.000358698 0.00040914 0.00032507 0.000386721 0.000498815 0.000381117 0.000487605 0.000353093 0.00040914 0.000341884 0.000425954 0.000476396 0.000414745 0.000381117 0.000291442 0.000448373 0.000392326 0.000330675 0.000386721 0.000302652 0.000369907 0.000302652 0.000341884 0.000369907 0.00040914 0.000319466 0.000313861 0.000302652 0.000381117 0.000465187 0.000330675 0.000381117 0.00025221 0.000319466 0.00025221 0.000381117 0.00032507 0.00025221 0.000308256 0.000263419 0.000319466 0.00025221 0.000246605 0.000308256
20 0.195 0.000112093 8.97E-05 9.53E-05 0.000123302 0.000128907 8.41E-05 9.53E-05 0.000128907 8.41E-05 0.000134512 0.000123302 0.000128907 9.53E-05 0.000128907 0.00016814 0.00015693 0.000134512 0.000162535 0.000173744 0.000235396 0.000179349 0.000184954 0.00016814 0.000246605 0.000184954 0.000218582 0.000218582 0.000145721 0.000212977 0.000201768 0.000224186 0.000207372 0.000280233 0.000246605 0.000190558 0.000229791 0.000212977 0.000291442 0.000235396 0.000212977 0.00016814 0.000224186 0.000235396 0.000224186 0.000218582 0.000308256 0.000229791 0.000347489 0.000241 0.000212977 0.000358698 0.00032507 0.000330675 0.000274628 0.000291442 0.000347489 0.000308256 0.000347489 0.000297047 0.000313861 0.000297047 0.000274628 0.000347489 0.000375512 0.000280233 0.000319466 0.000358698 0.000308256 0.000347489 0.000274628 0.000381117 0.000341884 0.000353093 0.000353093 0.000341884 0.000375512 0.000381117 0.000358698 0.000319466 0.000369907 0.000386721 0.000414745 0.000358698 0.000285838 0.000364303 0.000442768 0.000425954 0.000425954 0.000369907 0.000364303 0.000425954 0.00040914 0.000397931 0.00033628 0.000347489 0.000386721 0.000397931 0.00032507 0.000364303 0.000470791 0.000392326 0.000358698 0.000420349 0.000414745 0.000369907 0.000431559 0.000392326 0.000347489 0.000403535 0.00040914 0.000353093 0.000353093 0.000341884 0.000358698 0.000302652 0.000386721 0.000381117 0.000341884 0.00032507 0.000274628 0.000358698 0.000353093 0.000358698 0.000358698 0.000381117 0.000302652 0.000302652 0.000353093 0.000291442 0.000291442 0.00033628 0.000392326 0.000369907 0.000364303 0.000358698 0.000297047 0.000297047 0.000263419 0.000274628 0.000291442
21 0.205 6.73E-05 8.97E-05 5.60E-05 0.000117698 6.17E-05 7.85E-05 8.97E-05 0.000100884 0.000100884 0.000117698 0.000162535 0.000100884 0.000106489 9.53E-05 0.000112093 0.000128907 0.000100884 0.000100884 0.000173744 0.000162535 0.000123302 0.00016814 0.000151326 0.000162535 0.000201768 0.000162535 0.000190558 0.000218582 0.000134512 0.000201768 0.000207372 0.000212977 0.000196163 0.000184954 0.000201768 0.000207372 0.000218582 0.000196163 0.000201768 0.000190558 0.000212977 0.000257814 0.000218582 0.000241 0.000257814 0.000241 0.000285838 0.000263419 0.000263419 0.000257814 0.000229791 0.000274628 0.000319466 0.00032507 0.000302652 0.000285838 0.00032507 0.000241 0.000274628 0.000224186 0.000280233 0.000297047 0.000313861 0.000297047 0.00032507 0.000263419 0.000246605 0.000319466 0.000330675 0.000269024 0.000257814 0.00033628 0.000319466 0.000347489 0.00032507 0.000257814 0.000470791 0.000308256 0.000364303 0.00032507 0.00032507 0.000319466 0.000358698 0.000212977 0.00040914 0.000403535 0.00032507 0.000364303 0.000453977 0.000341884 0.000358698 0.000386721 0.000274628 0.000274628 0.000308256 0.000397931 0.000386721 0.000369907 0.000313861 0.000308256 0.000302652 0.000364303 0.000330675 0.00040914 0.000353093 0.000319466 0.00033628 0.000302652 0.000358698 0.000347489 0.000269024 0.00032507 0.000341884 0.000291442 0.000330675 0.000358698 0.000392326 0.000369907 0.000364303 0.000364303 0.000397931 0.000353093 0.000319466 0.000386721 0.000341884 0.000375512 0.000285838 0.000308256 0.00033628 0.000392326 0.000358698 0.000386721 0.000319466 0.000375512 0.000313861 0.000308256 0.000269024 0.000280233 0.000319466 0.000330675
22 0.215 7.29E-05 0.000117698 0.000106489 8.97E-05 7.29E-05 8.97E-05 8.97E-05 6.73E-05 5.60E-05 6.17E-05 8.41E-05 7.85E-05 6.73E-05 0.000117698 9.53E-05 0.000123302 0.000100884 0.000106489 0.000106489 0.000140116 0.000128907 0.000190558 0.000145721 0.000128907 0.000134512 0.000173744 0.000151326 0.000162535 0.00016814 0.000196163 0.000151326 0.00016814 0.000207372 0.000134512 0.000151326 0.000162535 0.000235396 0.000201768 0.000184954 0.000207372 0.000229791 0.000179349 0.000218582 0.000128907 0.000196163 0.000212977 0.000207372 0.000263419 0.000196163 0.000196163 0.000162535 0.000224186 0.000218582 0.000302652 0.000207372 0.00025221 0.000207372 0.000257814 0.000235396 0.00025221 0.000280233 0.000246605 0.000241 0.000313861 0.000291442 0.00025221 0.000207372 0.00032507 0.000291442 0.00033628 0.000358698 0.000212977 0.00033628 0.000308256 0.000291442 0.000269024 0.000313861 0.000330675 0.000369907 0.000302652 0.00025221 0.000330675 0.000308256 0.000347489 0.000330675 0.000280233 0.000308256 0.000313861 0.000319466 0.000269024 0.000358698 0.000364303 0.00032507 0.00032507 0.000319466 0.000330675 0.000291442 0.000313861 0.00040914 0.00033628 0.000392326 0.000319466 0.00033628 0.000386721 0.000358698 0.000369907 0.000280233 0.000353093 0.000313861 0.00032507 0.000364303 0.000285838 0.000381117 0.000313861 0.000297047 0.00033628 0.000358698 0.000285838 0.000420349 0.00033628 0.000308256 0.000397931 0.000319466 0.000313861 0.000341884 0.000397931 0.000269024 0.000319466 0.000341884 0.000420349 0.00032507 0.00033628 0.000364303 0.000375512 0.000414745 0.000269024 0.000291442 0.000341884 0.000297047 0.000369907
23 0.225 5.04E-05 2.80E-05 3.36E-05 5.04E-05 6.17E-05 6.17E-05 2.80E-05 7.85E-05 7.29E-05 4.48E-05 9.53E-05 0.000117698 7.29E-05 6.73E-05 7.85E-05 8.97E-05 6.17E-05 0.000112093 0.000140116 0.000106489 8.97E-05 0.000106489 0.000100884 8.41E-05 9.53E-05 9.53E-05 7.85E-05 0.000100884 0.000112093 0.00015693 0.000128907 0.000123302 0.000201768 0.000145721 0.000145721 0.000112093 8.97E-05 0.000151326 0.000173744 0.00016814 0.000212977 0.000134512 0.00015693 0.000173744 0.000218582 0.000179349 0.000224186 0.00015693 0.000241 0.000224186 0.000112093 0.000184954 0.000269024 0.000229791 0.000285838 0.000212977 0.000190558 0.000257814 0.000218582 0.000207372 0.000184954 0.000229791 0.000224186 0.00015693 0.000235396 0.000257814 0.000229791 0.000263419 0.000241 0.000162535 0.000302652 0.000235396 0.000291442 0.000280233 0.00025221 0.000218582 0.000246605 0.00032507 0.000319466 0.000274628 0.000386721 0.000319466 0.000302652 0.000397931 0.000280233 0.000291442 0.000369907 0.000246605 0.000291442 0.000297047 0.000212977 0.000319466 0.000280233 0.000241 0.000358698 0.000291442 0.000297047 0.000285838 0.000280233 0.000369907 0.00033628 0.000397931 0.000330675 0.000375512 0.00032507 0.000297047 0.00040914 0.000297047 0.000291442 0.00032507 0.000218582 0.000302652 0.000280233 0.000308256 0.000425954 0.000364303 0.000375512 0.000246605 0.000302652 0.000308256 0.000313861 0.000392326 0.000297047 0.000263419 0.000353093 0.000269024 0.000420349 0.000381117 0.000369907 0.000285838 0.000263419 0.000291442 0.000386721 0.000330675 0.000330675 0.000313861 0.000280233 0.000297047 0.000280233 0.000308256
24 0.235 5.60E-05 2.80E-05 7.29E-05 6.17E-05 5.04E-05 3.36E-05 5.04E-05 5.04E-05 3.92E-05 7.85E-05 7.29E-05 7.85E-05 8.97E-05 5.04E-05 6.73E-05 5.60E-05 4.48E-05 7.85E-05 7.85E-05 5.04E-05 5.04E-05 7.29E-05 5.04E-05 9.53E-05 0.000140116 7.29E-05 0.000106489 0.000140116 0.000140116 0.000117698 8.97E-05 0.000100884 0.000112093 0.000134512 0.000134512 0.000117698 0.000145721 0.000151326 0.000151326 0.000162535 0.00015693 0.000190558 0.000140116 0.000140116 0.000117698 0.000196163 0.00016814 0.000123302 0.00015693 0.000106489 0.000112093 0.000179349 0.000207372 0.000173744 0.000212977 0.000224186 0.000151326 0.000162535 0.000201768 0.00015693 0.000184954 0.000224186 0.000257814 0.000190558 0.000207372 0.000235396 0.000257814 0.000246605 0.000201768 0.000218582 0.000201768 0.000297047 0.000224186 0.00025221 0.000269024 0.000263419 0.000269024 0.000274628 0.000291442 0.000269024 0.000269024 0.000218582 0.000274628 0.000263419 0.000285838 0.000274628 0.000241 0.00025221 0.000241 0.000269024 0.000308256 0.000308256 0.000263419 0.000308256 0.000302652 0.000353093 0.000302652 0.000319466 0.000341884 0.000224186 0.00032507 0.000358698 0.000297047 0.000313861 0.000235396 0.000257814 0.000229791 0.000381117 0.000297047 0.000280233 0.000308256 0.000291442 0.000269024 0.000313861 0.000319466 0.00033628 0.000358698 0.000308256 0.00025221 0.000308256 0.000369907 0.000291442 0.00033628 0.00025221 0.00032507 0.000347489 0.000291442 0.000308256 0.00033628 0.000308256 0.00025221 0.00032507 0.00033628 0.000274628 0.000347489 0.000297047 0.000280233 0.000269024 0.000330675 0.000353093
25 0.245 1.68E-05 2.80E-05 4.48E-05 3.36E-05 2.24E-05 5.04E-05 6.17E-05 3.36E-05 7.85E-05 5.04E-05 3.36E-05 3.36E-05 5.60E-05 7.85E-05 5.60E-05 6.73E-05 3.92E-05 5.60E-05 6.17E-05 5.60E-05 7.29E-05 7.85E-05 0.000106489 6.73E-05 6.73E-05 0.000100884 8.97E-05 8.41E-05 5.04E-05 8.41E-05 8.97E-05 8.97E-05 0.00015693 0.000112093 7.85E-05 0.000112093 0.000100884 0.000134512 0.000100884 0.000151326 0.000128907 0.000117698 0.000140116 0.000123302 0.000128907 0.000128907 7.85E-05 0.00016814 0.000100884 0.000123302 0.00015693 0.000151326 0.000162535 0.000190558 0.000184954 0.000145721 0.000190558 0.000184954 0.000196163 0.000224186 0.000173744 0.000246605 0.000212977 0.000190558 0.000207372 0.000212977 0.00016814 0.000257814 0.000173744 0.000224186 0.000297047 0.000224186 0.000229791 0.000257814 0.000224186 0.000196163 0.000201768 0.000207372 0.000179349 0.000291442 0.000218582 0.000246605 0.000241 0.000196163 0.000291442 0.000241 0.000257814 0.000285838 0.000241 0.000308256 0.000291442 0.00032507 0.000184954 0.000291442 0.000263419 0.000246605 0.00025221 0.000291442 0.000297047 0.000212977 0.000330675 0.000280233 0.000330675 0.000280233 0.000291442 0.000246605 0.000207372 0.000358698 0.000297047 0.000353093 0.000285838 0.000263419 0.000297047 0.000297047 0.000308256 0.00032507 0.000297047 0.000257814 0.000297047 0.000235396 0.000297047 0.000319466 0.000319466 0.000274628 0.000269024 0.000353093 0.000263419 0.000291442 0.000224186 0.000302652 0.000341884 0.000291442 0.000280233 0.00032507 0.000319466 0.00025221 0.000257814 0.00033628 0.000353093 0.000291442
